subgroup,model,n,positives,prevalence,threshold,roc_auc,pr_auc,brier,log_loss,ece_10,mean_probability,observed_to_expected,accuracy,balanced_accuracy,precision,recall,f1,precision_top_0p005,recall_top_0p005,lift_top_0p005,positives_top_0p005,precision_top_0p01,recall_top_0p01,lift_top_0p01,positives_top_0p01,precision_top_0p02,recall_top_0p02,lift_top_0p02,positives_top_0p02,precision_top_0p05,recall_top_0p05,lift_top_0p05,positives_top_0p05,precision_top_0p1,recall_top_0p1,lift_top_0p1,positives_top_0p1,label_window_years,seed,deterministic_comparator_reused,mature_max_fy,best_epoch,best_validation_pr_auc,compatible_prior_cache_reused
"Mature test, AAER window=0",Logistic regression,51627,36,0.0006973095473298855,0.78,0.5466629623168555,0.0007369245774325286,0.14211168227198293,0.4341998223423044,0.22472925427843307,0.22542656382576295,0.003093289164753676,0.9221725066341255,0.4614079975189471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,deterministic_reuse,1,2022,,,
"Mature test, AAER window=0",DeepCut-inspired neural threshold,51627,36,0.0006973095473298855,0.86,0.48207913094230476,0.0006580471063830771,0.1769396671640819,0.48134161197876785,0.2898730949880921,0.29057040453542204,0.0023997954934356705,0.9834970073798593,0.4920916438913764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20260531,0,2022,16.0,0.003021147455628684,1.0
"Mature test, AAER window=0",DeepCut-inspired neural threshold,51627,36,0.0006973095473298855,0.9500000000000001,0.4919618839633959,0.0006445186620655152,0.17751923797584332,0.4995276875013649,0.2578105116017403,0.25850782114907017,0.002697440813319832,0.9896953144672361,0.49519296001240526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20260532,0,2022,44.0,0.0038816646721595628,0.0
"Mature test, AAER window=0",DeepCut-inspired neural threshold,51627,36,0.0006973095473298855,0.87,0.47647253289225727,0.0006421543291233705,0.19512947838301276,0.5233437087018316,0.29635833238716924,0.2970556419344992,0.0023474038156246916,0.9768338272609294,0.48875772906127035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019369709648052374,0.027777777777777776,0.27777777777777773,1.0,0,20260533,0,2022,28.0,0.0018898337493383434,0.0
"Mature test, AAER window=0",DeepCut-inspired neural threshold,51627,36,0.0006973095473298855,0.9500000000000001,0.4865011985294593,0.0006485607667180625,0.14544069702272103,0.40582266903007147,0.2161116474959105,0.2168089570432404,0.0032162395725690153,0.9944215236213609,0.49755771355468975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20260534,0,2022,74.0,0.003444701955899159,0.0
"Mature test, AAER window=0",DeepCut-inspired neural threshold,51627,36,0.0006973095473298855,0.9400000000000001,0.524037892052662,0.0006936441022908899,0.22670516008109437,0.6152769431489202,0.31732431935433136,0.31802162890166125,0.0021926481847733314,0.9924070738179634,0.4965497858153554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20260535,0,2022,29.0,0.003804786251012855,0.0
"Mature test, AAER window=1",Logistic regression,51627,75,0.0014527282236039283,0.8,0.6201484585143803,0.0024997233309921995,0.15661010763093972,0.47099931434609754,0.2609509114083991,0.262403639632003,0.005536235037140666,0.9397408332849091,0.5171527777777778,0.0022950819672131148,0.09333333333333334,0.00448,0.011621825788831426,0.04,8.0,3.0,0.005810912894415713,0.04,4.0,3.0,0.0029054564472078565,0.04,2.0,3.0,0.0027117593507273324,0.09333333333333334,1.8666666666666665,7.0,0.002130668061285761,0.14666666666666667,1.4666666666666661,11.0,1,deterministic_reuse,1,2022,,,
"Mature test, AAER window=1",DeepCut-inspired neural threshold,51627,75,0.0014527282236039283,0.9500000000000001,0.6713008224705153,0.0038726770967195457,0.1998985569945456,0.5503879681964315,0.34675121179421126,0.34820394001781513,0.004172061417597982,0.9948863966529141,0.4981668994413408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005810912894415713,0.04,4.0,3.0,0.00774788385922095,0.10666666666666667,5.333333333333333,8.0,0.005810912894415712,0.2,3.9999999999999996,15.0,0.00464873031553257,0.32,3.1999999999999997,24.0,1,20260531,0,2022,2.0,0.0055298529976179015,0.0
"Mature test, AAER window=1",DeepCut-inspired neural threshold,51627,75,0.0014527282236039283,0.87,0.6915704531346989,0.0042573053014603734,0.19859233259586592,0.5353133895395641,0.2958541426241633,0.29730687084776725,0.004886292131296831,0.9666647296957018,0.5372912787088765,0.0048134777376654635,0.10666666666666667,0.009211283822682787,0.003873941929610475,0.013333333333333334,2.6666666666666665,1.0,0.00774788385922095,0.05333333333333334,5.333333333333333,4.0,0.005810912894415713,0.08,4.0,6.0,0.00309915354368838,0.10666666666666667,2.133333333333333,8.0,0.0032928506401689035,0.22666666666666666,2.266666666666666,17.0,1,20260532,0,2022,28.0,0.0037373592103244514,1.0
"Mature test, AAER window=1",DeepCut-inspired neural threshold,51627,75,0.0014527282236039283,0.97,0.6724909476515621,0.0031410251696776066,0.2462694213290207,0.6495301232883507,0.37435335071113013,0.3758060789347341,0.0038656325829583564,0.9980049199062506,0.4997284295468653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019369709648052375,0.013333333333333334,1.3333333333333333,1.0,0.005810912894415713,0.08,4.0,6.0,0.0027117593507273324,0.09333333333333334,1.8666666666666665,7.0,0.003680244833129951,0.25333333333333335,2.5333333333333328,19.0,1,20260533,0,2022,6.0,0.005751840704548178,0.0
"Mature test, AAER window=1",DeepCut-inspired neural threshold,51627,75,0.0014527282236039283,0.92,0.6725977653631284,0.004331285385163787,0.19600801022675288,0.531573739514986,0.2839037495705522,0.2853564777941561,0.00509092428822262,0.9899083812733647,0.5089882060831782,0.0044444444444444444,0.02666666666666667,0.007619047619047619,0.00774788385922095,0.02666666666666667,5.333333333333333,2.0,0.005810912894415713,0.04,4.0,3.0,0.005810912894415713,0.08,4.0,6.0,0.0027117593507273324,0.09333333333333334,1.8666666666666665,7.0,0.0025180622542468087,0.17333333333333334,1.7333333333333332,13.0,1,20260534,0,2022,41.0,0.004707285457456913,0.0
"Mature test, AAER window=1",DeepCut-inspired neural threshold,51627,75,0.0014527282236039283,0.88,0.6373887854334782,0.0026140551885552796,0.21444940919735297,0.5691131717804803,0.33445790907615536,0.33591063729975934,0.004324746114864904,0.9889398957909621,0.5085032588454376,0.004,0.02666666666666667,0.006956521739130435,0.00774788385922095,0.02666666666666667,5.333333333333333,2.0,0.003873941929610475,0.02666666666666667,2.6666666666666665,2.0,0.0019369709648052375,0.02666666666666667,1.3333333333333333,2.0,0.0027117593507273324,0.09333333333333334,1.8666666666666665,7.0,0.002130668061285761,0.14666666666666667,1.4666666666666661,11.0,1,20260535,0,2022,10.0,0.004542234235476808,0.0
"Mature test, AAER window=2",Logistic regression,51627,115,0.002227516609526023,0.8200000000000001,0.6278192671019669,0.00427599753355974,0.16783136266744014,0.4992376819954126,0.29115107964313314,0.2933785962526592,0.007592635038745888,0.9497356034633041,0.5236472548397334,0.004396482813749001,0.09565217391304348,0.008406572411157814,0.0154957677184419,0.034782608695652174,6.956521739130435,4.0,0.013558796753636663,0.06086956521739131,6.086956521739131,7.0,0.00871636934162357,0.0782608695652174,3.91304347826087,9.0,0.004261336122571522,0.09565217391304348,1.9130434782608692,11.0,0.0034865477366494272,0.1565217391304348,1.5652173913043477,18.0,2,deterministic_reuse,1,2022,,,
"Mature test, AAER window=2",DeepCut-inspired neural threshold,51627,115,0.002227516609526023,0.9500000000000001,0.6728341897540125,0.005413265153658383,0.18892468621780614,0.5242080484142299,0.31653144305846587,0.31875895966799184,0.00698809097584622,0.9962422763282779,0.503571307994085,0.012345679012345678,0.008695652173913044,0.01020408163265306,0.003873941929610475,0.008695652173913044,1.7391304347826086,1.0,0.003873941929610475,0.017391304347826087,1.7391304347826086,2.0,0.00871636934162357,0.0782608695652174,3.91304347826087,9.0,0.008910066438104092,0.2,4.0,23.0,0.006392004183857283,0.28695652173913044,2.869565217391304,33.0,2,20260531,0,2022,12.0,0.007934969127285703,0.0
"Mature test, AAER window=2",DeepCut-inspired neural threshold,51627,115,0.002227516609526023,0.87,0.6789514642430299,0.005698667441849025,0.16435349465064125,0.45908375497769194,0.2818483370765221,0.28407585368604815,0.007841274014044875,0.9847754082166308,0.5498825094363828,0.018651362984218076,0.11304347826086956,0.03201970443349754,0.003873941929610475,0.008695652173913044,1.7391304347826086,1.0,0.0154957677184419,0.06956521739130435,6.956521739130435,8.0,0.013558796753636663,0.12173913043478261,6.086956521739131,14.0,0.007360489666259902,0.16521739130434782,3.304347826086956,19.0,0.006004609990896236,0.26956521739130435,2.6956521739130435,31.0,2,20260532,0,2022,15.0,0.005256603143827619,0.0
"Mature test, AAER window=2",DeepCut-inspired neural threshold,51627,115,0.002227516609526023,0.9500000000000001,0.7089113891571064,0.005556608929093934,0.2291377359264638,0.6344804578475258,0.38907294509653745,0.3913004617060635,0.0056925989808805436,0.9901601874987894,0.49618535486876847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003873941929610475,0.034782608695652174,1.7391304347826086,4.0,0.0069730954732988544,0.1565217391304348,3.1304347826086953,18.0,0.007360489666259902,0.33043478260869563,3.304347826086956,38.0,2,20260533,0,2022,2.0,0.0058753129220588726,1.0
"Mature test, AAER window=2",DeepCut-inspired neural threshold,51627,115,0.002227516609526023,0.9600000000000001,0.6694489928897952,0.005641224062112532,0.2123656126112856,0.5884620628438467,0.32249289850486634,0.3247204151143923,0.006859798478458199,0.9965328219729986,0.5037169051364984,0.015151515151515152,0.008695652173913044,0.011049723756906077,0.011621825788831426,0.02608695652173913,5.217391304347827,3.0,0.013558796753636663,0.06086956521739131,6.086956521739131,7.0,0.011621825788831426,0.10434782608695652,5.217391304347827,12.0,0.0069730954732988544,0.1565217391304348,3.1304347826086953,18.0,0.006004609990896236,0.26956521739130435,2.6956521739130435,31.0,2,20260534,0,2022,17.0,0.005676553071812572,0.0
"Mature test, AAER window=2",DeepCut-inspired neural threshold,51627,115,0.002227516609526023,0.9400000000000001,0.6688617932841314,0.00539450570917586,0.19502386582539766,0.5393186824902103,0.3018439434871189,0.30407146009664493,0.007325635259613111,0.994808917814322,0.5028530287581787,0.0064516129032258064,0.008695652173913044,0.007407407407407408,0.003873941929610475,0.008695652173913044,1.7391304347826086,1.0,0.01743273868324714,0.0782608695652174,7.82608695652174,9.0,0.00871636934162357,0.0782608695652174,3.91304347826087,9.0,0.007360489666259902,0.16521739130434782,3.304347826086956,19.0,0.006004609990896236,0.26956521739130435,2.6956521739130435,31.0,2,20260535,0,2022,21.0,0.0069274916298686234,0.0
"Mature test, AAER window=3",Logistic regression,51627,123,0.002382474286710442,0.99,0.683885630794798,0.007112919173133507,0.1763097649772021,0.5222296290952376,0.31623587817514165,0.318618352461852,0.007477517438345598,0.9946152207178415,0.5228272585032467,0.03592814371257485,0.04878048780487805,0.041379310344827586,0.027117593507273326,0.056910569105691054,11.382113821138212,7.0,0.01743273868324714,0.07317073170731707,7.317073170731708,9.0,0.013558796753636663,0.11382113821138211,5.691056910569106,14.0,0.008522672245143043,0.17886178861788618,3.5772357723577226,22.0,0.0056172157979351885,0.23577235772357724,2.357723577235772,29.0,3,deterministic_reuse,1,2022,,,
"Mature test, AAER window=3",DeepCut-inspired neural threshold,51627,123,0.002382474286710442,0.9400000000000001,0.7450588730025232,0.009813872078210096,0.17771568213400912,0.4999559514509173,0.3193626355774322,0.3217451098641427,0.007404850030872094,0.9960873186510935,0.515454399942415,0.04597701149425287,0.032520325203252036,0.0380952380952381,0.019369709648052378,0.04065040650406504,8.130081300813009,5.0,0.009684854824026189,0.04065040650406504,4.065040650406504,5.0,0.00774788385922095,0.06504065040650407,3.252032520325203,8.0,0.012009219981792472,0.25203252032520324,5.0406504065040645,31.0,0.007941580955701473,0.3333333333333333,3.333333333333333,41.0,3,20260531,0,2022,12.0,0.0260955959675974,1.0
"Mature test, AAER window=3",DeepCut-inspired neural threshold,51627,123,0.002382474286710442,0.93,0.768249904656549,0.008346694149450143,0.23577822907903498,0.6358597152065072,0.38257933639401903,0.38496181068072954,0.0061888587922461795,0.9938210626222713,0.5183738984990036,0.024271844660194174,0.04065040650406504,0.030395136778115502,0.019369709648052378,0.04065040650406504,8.130081300813009,5.0,0.011621825788831426,0.04878048780487805,4.878048780487806,6.0,0.012590311271234046,0.10569105691056911,5.284552845528456,13.0,0.01239661417475352,0.2601626016260163,5.203252032520325,32.0,0.008522672245143043,0.35772357723577236,3.5772357723577226,44.0,3,20260532,0,2022,8.0,0.01684474512565229,1.0
"Mature test, AAER window=3",DeepCut-inspired neural threshold,51627,123,0.002382474286710442,0.9600000000000001,0.7575371839459307,0.010124800397613622,0.22535606915028797,0.6135952186646476,0.36786313197891196,0.3702456062656225,0.0064348482369327616,0.9968814767466636,0.5158524272800976,0.08695652173913043,0.032520325203252036,0.047337278106508875,0.019369709648052378,0.04065040650406504,8.130081300813009,5.0,0.009684854824026189,0.04065040650406504,4.065040650406504,5.0,0.012590311271234046,0.10569105691056911,5.284552845528456,13.0,0.010072249016987235,0.21138211382113822,4.227642276422764,26.0,0.007166792569779378,0.3008130081300813,3.0081300813008127,37.0,3,20260533,0,2022,9.0,0.01986297706882932,1.0
"Mature test, AAER window=3",DeepCut-inspired neural threshold,51627,123,0.002382474286710442,0.99,0.7791796737864862,0.0344641115829286,0.21401554325973565,0.5949875025234366,0.3595162510117448,0.3618987252984553,0.0065832624437835,0.9974625680361051,0.5161436667954751,0.25,0.032520325203252036,0.05755395683453238,0.0154957677184419,0.032520325203252036,6.504065040650406,4.0,0.009684854824026189,0.04065040650406504,4.065040650406504,5.0,0.01646425320084452,0.13821138211382114,6.910569105691057,17.0,0.011234431595870377,0.23577235772357724,4.715447154471544,29.0,0.008135278052181996,0.34146341463414637,3.4146341463414625,42.0,3,20260534,0,2022,8.0,0.046767131169358434,1.0
"Mature test, AAER window=3",DeepCut-inspired neural threshold,51627,123,0.002382474286710442,0.98,0.7523722208331123,0.012704805474014074,0.1809701307101951,0.5071025862420128,0.30991386530435977,0.31229633959107017,0.007628889566333447,0.9972882406492727,0.5160562949408618,0.16,0.032520325203252036,0.05405405405405406,0.019369709648052378,0.04065040650406504,8.130081300813009,5.0,0.009684854824026189,0.04065040650406504,4.065040650406504,5.0,0.0048424274120130945,0.04065040650406504,2.032520325203252,5.0,0.008910066438104092,0.18699186991869918,3.7398373983739837,23.0,0.007360489666259902,0.3089430894308943,3.0894308943089426,38.0,3,20260535,0,2022,21.0,0.022536148553713293,1.0
