subgroup,model,n,positives,prevalence,threshold,roc_auc,pr_auc,brier,log_loss,ece_10,mean_probability,observed_to_expected,accuracy,balanced_accuracy,precision,recall,f1,precision_top_0p005,recall_top_0p005,lift_top_0p005,positives_top_0p005,precision_top_0p01,recall_top_0p01,lift_top_0p01,positives_top_0p01,precision_top_0p02,recall_top_0p02,lift_top_0p02,positives_top_0p02,precision_top_0p05,recall_top_0p05,lift_top_0p05,positives_top_0p05,precision_top_0p1,recall_top_0p1,lift_top_0p1,positives_top_0p1,calibration_method,selected_by_validation_brier,validation_brier
Calibration=raw,Logistic regression,75923,167,0.0021995969600779736,0.99,0.6866797056923695,0.005907473369297034,0.1794685531109623,0.5308185415901032,0.3192433658141979,0.32144296277427586,0.006842884165495258,0.9944680795016003,0.5192420481387929,0.026217228464419477,0.041916167664670656,0.03225806451612903,0.023708230707427263,0.05389221556886228,10.778443113772456,9.0,0.015805487138284842,0.0718562874251497,7.185628742514971,12.0,0.011195553389618428,0.10179640718562874,5.089820359281437,17.0,0.007375893997866259,0.16766467065868262,3.353293413173653,28.0,0.005268495712761613,0.23952095808383234,2.3952095808383236,40.0,raw,0,0.17931057955319418
Calibration=platt,Logistic regression,75923,167,0.0021995969600779736,0.01,0.6866754373401147,0.005907385174491584,0.0021961223431623284,0.015614855818383488,0.0012745968264931556,0.003474193786571129,0.6331244297828521,0.9855906642255969,0.5357054384815036,0.014659685863874346,0.08383233532934131,0.024955436720142603,0.023708230707427263,0.05389221556886228,10.778443113772456,9.0,0.015805487138284842,0.0718562874251497,7.185628742514971,12.0,0.011195553389618428,0.10179640718562874,5.089820359281437,17.0,0.007375893997866259,0.16766467065868262,3.353293413173653,28.0,0.005268495712761613,0.23952095808383234,2.3952095808383236,40.0,platt,0,0.0034133994823407677
Calibration=isotonic,Logistic regression,75923,167,0.0021995969600779736,0.02,0.6703585147145912,0.004806254432747142,0.0021989283574972967,0.015632162369083047,0.001217906187588161,0.0034175031476661346,0.6436269009964518,0.9945602781765737,0.5192882490997729,0.026923076923076925,0.041916167664670656,0.03278688524590164,0.018439734994665648,0.041916167664670656,8.383233532934133,7.0,0.010536991425523227,0.04790419161676647,4.790419161676647,8.0,0.005268495712761613,0.04790419161676647,2.3952095808383236,8.0,0.007375893997866259,0.16766467065868262,3.353293413173653,28.0,0.0048733585343044925,0.2215568862275449,2.215568862275449,37.0,isotonic,1,0.0034029760539912054
Calibration=raw,Random forest,75923,167,0.0021995969600779736,0.09999999999999999,0.6500178401315537,0.004237375351967019,0.0025008899633638263,0.022440625170838575,0.008927874903405445,0.011127471863483418,0.19767265979762244,0.9930455856591547,0.5155418214734795,0.0160857908847185,0.03592814371257485,0.022222222222222223,0.015805487138284842,0.03592814371257485,7.185628742514971,6.0,0.009219867497332824,0.041916167664670656,4.1916167664670665,7.0,0.006585619640952017,0.059880239520958084,2.9940119760479043,10.0,0.004741646141485452,0.10778443113772455,2.155688622754491,18.0,0.004214796570209291,0.19161676646706588,1.916167664670659,32.0,raw,0,0.0035767567015665435
Calibration=platt,Random forest,75923,167,0.0021995969600779736,0.02,0.6500185515235962,0.004237374092923235,0.0022036631938573558,0.01632958724965123,0.0012360381343436604,0.003435635094421634,0.6402300883610752,0.9892390975066844,0.5166217936374993,0.010542168674698794,0.041916167664670656,0.01684717208182912,0.015805487138284842,0.03592814371257485,7.185628742514971,6.0,0.009219867497332824,0.041916167664670656,4.1916167664670665,7.0,0.006585619640952017,0.059880239520958084,2.9940119760479043,10.0,0.004741646141485452,0.10778443113772455,2.155688622754491,18.0,0.004214796570209291,0.19161676646706588,1.916167664670659,32.0,platt,0,0.003396053041555751
Calibration=isotonic,Random forest,75923,167,0.0021995969600779736,0.04,0.6485267624105504,0.003822291644314826,0.002226983242062151,0.016016585927588207,0.0012435808685688434,0.0034431778286468165,0.6388275800853495,0.99093818737405,0.5174732113469876,0.013084112149532711,0.041916167664670656,0.019943019943019943,0.015805487138284842,0.03592814371257485,7.185628742514971,6.0,0.009219867497332824,0.041916167664670656,4.1916167664670665,7.0,0.005927057676856816,0.05389221556886228,2.694610778443114,9.0,0.0057953452840377746,0.1317365269461078,2.6347305389221556,22.0,0.004083084177390251,0.18562874251497005,1.8562874251497008,31.0,isotonic,1,0.003378038264383438
Calibration=raw,Extra trees,75923,167,0.0021995969600779736,0.67,0.6422118538149426,0.005505967113976588,0.04658393148317752,0.19556254267152623,0.1594705639780431,0.16167016093812103,0.01360546032313202,0.9964042516760402,0.5022877972867824,0.009259259259259259,0.005988023952095809,0.007272727272727273,0.018439734994665648,0.041916167664670656,8.383233532934133,7.0,0.015805487138284842,0.0718562874251497,7.185628742514971,12.0,0.012512677317808833,0.11377245508982035,5.688622754491019,19.0,0.007112469212228178,0.16167664670658682,3.2335329341317367,27.0,0.005663632891218734,0.25748502994011974,2.5748502994011977,43.0,raw,0,0.04857565886657869
Calibration=platt,Extra trees,75923,167,0.0021995969600779736,0.03,0.6422118538149426,0.005505967113976588,0.002203612153039079,0.016104507846042202,0.0011095763161725202,0.0033091732762504937,0.6646968219718788,0.9950476140300041,0.5105702186629434,0.018433179723502304,0.023952095808383235,0.020833333333333332,0.018439734994665648,0.041916167664670656,8.383233532934133,7.0,0.015805487138284842,0.0718562874251497,7.185628742514971,12.0,0.012512677317808833,0.11377245508982035,5.688622754491019,19.0,0.007112469212228178,0.16167664670658682,3.2335329341317367,27.0,0.005663632891218734,0.25748502994011974,2.5748502994011977,43.0,platt,0,0.0033890157616582586
Calibration=isotonic,Extra trees,75923,167,0.0021995969600779736,0.05,0.6507898585847471,0.004585367287037292,0.002247489053878594,0.016241579142820144,0.0010726795206867164,0.003272276480764691,0.6721916601509036,0.9964964503510135,0.5023339982477624,0.009900990099009901,0.005988023952095809,0.007462686567164179,0.010536991425523227,0.023952095808383235,4.790419161676647,4.0,0.014488363210094437,0.0658682634730539,6.586826347305389,11.0,0.009878429461428025,0.08982035928143713,4.491017964071856,15.0,0.008693017926056663,0.19760479041916168,3.952095808383234,33.0,0.005531920498399694,0.25149700598802394,2.5149700598802394,42.0,isotonic,1,0.0033512954455959306
Calibration=raw,Gradient boosting,75923,167,0.0021995969600779736,0.7100000000000001,0.621104970480392,0.0032877482741150025,0.14653898744704477,0.45612670446365067,0.32960556256994594,0.3318051595300238,0.006629182509378491,0.9617770636039145,0.5058479192415106,0.0029080334423845873,0.04790419161676647,0.0054832076764907475,0.010536991425523227,0.023952095808383235,4.790419161676647,4.0,0.005268495712761613,0.023952095808383235,2.3952095808383236,4.0,0.0032928098204760086,0.029940119760479042,1.4970059880239521,5.0,0.0036879469989331295,0.08383233532934131,1.6766467065868265,14.0,0.0038196593917521698,0.17365269461077845,1.7365269461077846,29.0,raw,0,0.14961343308936817
Calibration=platt,Gradient boosting,75923,167,0.0021995969600779736,0.01,0.621104970480392,0.0032877482741150025,0.0021961211526840396,0.015712749029640354,0.001199154737712598,0.0033987516977905716,0.6471778922561089,0.9937304901018137,0.5069227930958928,0.009523809523809525,0.017964071856287425,0.012448132780082987,0.010536991425523227,0.023952095808383235,4.790419161676647,4.0,0.005268495712761613,0.023952095808383235,2.3952095808383236,4.0,0.0032928098204760086,0.029940119760479042,1.4970059880239521,5.0,0.0036879469989331295,0.08383233532934131,1.6766467065868265,14.0,0.0038196593917521698,0.17365269461077845,1.7365269461077846,29.0,platt,0,0.003419445193292867
Calibration=isotonic,Gradient boosting,75923,167,0.0021995969600779736,0.01,0.6173340393504138,0.0029772855623555632,0.0021963805114464533,0.016099179195146824,0.001178121683240439,0.0033777186433184125,0.6512078690831979,0.997800403039922,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004609933748666412,0.041916167664670656,2.0958083832335332,7.0,0.0026342478563808067,0.059880239520958084,1.1976047904191618,10.0,0.0031610974276569683,0.1437125748502994,1.4371257485029942,24.0,isotonic,1,0.00341787403389015
Calibration=raw,HistGradientBoosting,75923,167,0.0021995969600779736,0.79,0.6554457218937698,0.0036236866346776387,0.027110253037967092,0.12017537038020681,0.09248821211604766,0.09468780907612565,0.023229991078466877,0.9949949290728765,0.5015815825975168,0.004651162790697674,0.005988023952095809,0.005235602094240838,0.005268495712761613,0.011976047904191617,2.3952095808383236,2.0,0.0039513717845712105,0.017964071856287425,1.7964071856287427,3.0,0.0032928098204760086,0.029940119760479042,1.4970059880239521,5.0,0.003424522213295049,0.07784431137724551,1.5568862275449102,13.0,0.0036879469989331295,0.16766467065868262,1.6766467065868265,28.0,raw,0,0.028802116760860128
Calibration=platt,HistGradientBoosting,75923,167,0.0021995969600779736,0.03,0.6554457218937698,0.0036236866346776387,0.002205134198310822,0.015807322227364497,0.001187941795257259,0.0033875387553352326,0.6493200872207587,0.9951793264228231,0.5016739845194768,0.004975124378109453,0.005988023952095809,0.005434782608695652,0.005268495712761613,0.011976047904191617,2.3952095808383236,2.0,0.0039513717845712105,0.017964071856287425,1.7964071856287427,3.0,0.0032928098204760086,0.029940119760479042,1.4970059880239521,5.0,0.003424522213295049,0.07784431137724551,1.5568862275449102,13.0,0.0036879469989331295,0.16766467065868262,1.6766467065868265,28.0,platt,0,0.0034101328658198457
Calibration=isotonic,HistGradientBoosting,75923,167,0.0021995969600779736,0.02,0.6497836735842428,0.0034989917776486173,0.002215088900180924,0.01647547438236139,0.0012207679175687655,0.003420364877646739,0.6430883951747652,0.995205668901387,0.5016871847940425,0.005025125628140704,0.005988023952095809,0.00546448087431694,0.0026342478563808067,0.005988023952095809,1.1976047904191618,1.0,0.0013171239281904033,0.005988023952095809,0.5988023952095809,1.0,0.0013171239281904033,0.011976047904191617,0.5988023952095809,2.0,0.0031610974276569683,0.0718562874251497,1.4371257485029942,12.0,0.0025025354635617664,0.11377245508982035,1.1377245508982037,19.0,isotonic,1,0.003395412693974243
Calibration=raw,DeepCut-inspired neural threshold,75923,167,0.0021995969600779736,0.9400000000000001,0.7427215504046556,0.007569743032043421,0.17922756636831927,0.5032169111302515,0.32095852264363317,0.32315811960371116,0.00680656566134046,0.9962725392832211,0.5111840314302489,0.03225806451612903,0.023952095808383235,0.027491408934707903,0.013171239281904034,0.029940119760479042,5.9880239520958085,5.0,0.007902743569142421,0.03592814371257485,3.5928143712574854,6.0,0.006585619640952017,0.059880239520958084,2.9940119760479043,10.0,0.009746717068608985,0.2215568862275449,4.431137724550898,37.0,0.0067173320337710575,0.30538922155688625,3.0538922155688626,51.0,raw,0,0.17835085093975067
Calibration=platt,DeepCut-inspired neural threshold,75923,167,0.0021995969600779736,0.03,0.7427215504046556,0.007569743032043421,0.0021943793444741664,0.015483193445076135,0.0011609377720392527,0.0033605347321172263,0.6545377850304701,0.9971681835543906,0.5116328407654831,0.07142857142857142,0.023952095808383235,0.03587443946188341,0.013171239281904034,0.029940119760479042,5.9880239520958085,5.0,0.007902743569142421,0.03592814371257485,3.5928143712574854,6.0,0.006585619640952017,0.059880239520958084,2.9940119760479043,10.0,0.009746717068608985,0.2215568862275449,4.431137724550898,37.0,0.0067173320337710575,0.30538922155688625,3.0538922155688626,51.0,platt,0,0.003402114612981677
Calibration=isotonic,DeepCut-inspired neural threshold,75923,167,0.0021995969600779736,0.02,0.7395231317817399,0.00778980667105412,0.002217918639796786,0.015116736450112167,0.0011620090918462857,0.0033616060519242592,0.6543291885195396,0.9961935118475297,0.5111444306065518,0.03076923076923077,0.023952095808383235,0.026936026936026935,0.010536991425523227,0.023952095808383235,4.790419161676647,4.0,0.013171239281904034,0.059880239520958084,5.9880239520958085,10.0,0.009219867497332824,0.08383233532934131,4.1916167664670665,14.0,0.010010141854247066,0.2275449101796407,4.550898203592815,38.0,0.006453907248132977,0.2934131736526946,2.9341317365269464,49.0,isotonic,1,0.0033572029788047075
